   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
     8.328    1.76  1.63  1.38 82.   80.   56.    0.6   0.28  0.14
     8.332    1.77  1.62  1.4  82.   80.   56.    0.6   0.3   0.14
     8.347    1.76  1.64  1.38 82.   80.   56.    0.6   0.28  0.14
     8.356    1.76  1.64  1.42 82.   80.   58.    0.6   0.28  0.14
     8.393    1.78  1.63  1.4  82.   80.   56.    0.6   0.28  0.14
     8.412    1.78  1.62  1.4  82.   80.   56.    0.6   0.28  0.14
     8.454    1.78  1.64  1.42 82.   80.   58.    0.6   0.28  0.12
     8.462    1.76  1.64  1.38 82.   80.   56.    0.6   0.29  0.14
     8.493    1.78  1.64  1.38 82.   80.   58.    0.6   0.28  0.16
     8.589    1.76  1.62  1.4  82.   80.   58.    0.6   0.3   0.14
     8.636    1.76  1.64  1.38 82.   80.   56.    0.6   0.3   0.14
     8.652    1.77  1.64  1.4  82.   80.   58.    0.6   0.28  0.12
     8.695    1.76  1.63  1.4  82.   80.   58.    0.6   0.29  0.16
     8.728    1.77  1.63  1.42 82.   80.   58.    0.6   0.28  0.12
     8.741    1.78  1.62  1.4  82.   80.   58.    0.6   0.3   0.16
     8.756    1.78  1.63  1.4  82.   80.   56.    0.6   0.29  0.14
     8.826    1.78  1.63  1.38 82.   80.   58.    0.6   0.3   0.16
     8.830    1.78  1.63  1.38 80.   80.   58.    0.6   0.28  0.16
     8.843    1.77  1.62  1.38 82.   80.   58.    0.6   0.3   0.16
     8.907    1.76  1.63  1.4  82.   80.   58.    0.6   0.28  0.12
     8.954    1.76  1.63  1.38 82.   80.   56.    0.6   0.29  0.14
     9.076    1.78  1.62  1.4  82.   80.   56.    0.6   0.3   0.14
     9.122    1.78  1.62  1.4  82.   80.   56.    0.6   0.3   0.16
     9.125    1.77  1.63  1.38 80.   80.   58.    0.6   0.28  0.16
     9.133    1.77  1.64  1.4  82.   80.   56.    0.6   0.29  0.14
     9.138    1.78  1.62  1.42 82.   80.   56.    0.6   0.3   0.16
     9.171    1.76  1.62  1.38 82.   80.   56.    0.6   0.28  0.14
     9.171    1.76  1.62  1.42 82.   80.   58.    0.6   0.28  0.12
     9.269    1.76  1.64  1.42 82.   80.   58.    0.6   0.29  0.12
     9.345    1.78  1.62  1.38 82.   80.   56.    0.6   0.3   0.14
     9.379    1.77  1.63  1.4  82.   80.   56.    0.6   0.28  0.14
     9.425    1.77  1.63  1.4  82.   80.   56.    0.6   0.29  0.14
     9.432    1.76  1.64  1.38 82.   80.   58.    0.6   0.28  0.12
     9.506    1.77  1.64  1.4  82.   80.   58.    0.6   0.29  0.16
     9.541    1.78  1.64  1.42 82.   80.   56.    0.6   0.29  0.14
     9.554    1.77  1.64  1.4  82.   80.   56.    0.6   0.3   0.14
     9.647    1.78  1.63  1.42 82.   80.   56.    0.6   0.29  0.14
     9.653    1.77  1.62  1.4  82.   80.   56.    0.6   0.28  0.14
     9.691    1.78  1.64  1.38 80.   80.   58.    0.6   0.29  0.16
     9.691    1.77  1.64  1.38 80.   80.   58.    0.6   0.29  0.16
     9.803    1.78  1.64  1.42 82.   80.   56.    0.6   0.3   0.14
     9.818    1.77  1.64  1.4  82.   80.   56.    0.6   0.28  0.14
     9.953    1.78  1.62  1.42 82.   80.   56.    0.6   0.28  0.14
    10.002    1.77  1.62  1.4  82.   80.   56.    0.6   0.29  0.14
    10.018    1.78  1.62  1.38 80.   80.   58.    0.6   0.28  0.16
    10.059    1.77  1.62  1.38 80.   80.   58.    0.6   0.28  0.16
    10.095    1.76  1.64  1.38 80.   80.   58.    0.6   0.29  0.16
    10.142    1.78  1.63  1.42 82.   80.   56.    0.6   0.28  0.14
    10.243    1.78  1.62  1.42 82.   80.   56.    0.6   0.29  0.14
    10.303    1.78  1.63  1.4  80.   80.   58.    0.6   0.28  0.16
    10.313    1.78  1.63  1.42 82.   80.   56.    0.6   0.3   0.14
    10.328    1.78  1.63  1.42 82.   80.   58.    0.6   0.3   0.14
    10.392    1.77  1.63  1.4  82.   80.   56.    0.6   0.3   0.14
    10.472    1.76  1.63  1.38 82.   80.   58.    0.6   0.3   0.14
    10.483    1.76  1.64  1.42 82.   80.   58.    0.6   0.3   0.16
    10.494    1.76  1.64  1.4  82.   80.   56.    0.6   0.3   0.14
    10.514    1.77  1.62  1.4  82.   80.   58.    0.6   0.28  0.16
    10.598    1.76  1.62  1.38 80.   80.   58.    0.6   0.28  0.16
    10.657    1.77  1.64  1.42 82.   80.   56.    0.6   0.3   0.14
    10.659    1.77  1.63  1.38 80.   80.   58.    0.6   0.29  0.16
    10.663    1.78  1.64  1.38 80.   80.   58.    0.6   0.28  0.16
    10.704    1.78  1.63  1.4  82.   80.   58.    0.6   0.3   0.16
