   Chi^2    ('R1'  'R2'  'R3'  'Theta2'  'Theta3'  'Phi'  'q1'  'q2'  'q3')
    47.196    1.7   1.4   1.5  75.   80.   65.    0.5   0.2   0.15
    47.293    1.65  1.6   1.5  80.   80.   60.    0.5   0.25  0.25
    47.364    1.65  1.5   1.5  80.   80.   60.    0.5   0.25  0.2 
    47.581    1.65  1.5   1.6  80.   80.   60.    0.5   0.2   0.2 
    47.586    1.7   1.5   1.6  85.   80.   55.    0.5   0.25  0.15
    47.654    1.65  1.5   1.6  80.   75.   55.    0.5   0.2   0.25
    47.726    1.7  1.6  1.6 75.  75.  65.   0.5  0.2  0.2
    47.783    1.6   1.6   1.5  75.   80.   65.    0.5   0.35  0.25
    47.798    1.7   1.6   1.5  85.   85.   60.    0.5   0.35  0.35
    47.845    1.7   1.6   1.5  75.   75.   60.    0.5   0.2   0.15
    47.855    1.6   1.6   1.6  75.   80.   65.    0.5   0.25  0.3 
    48.007    1.65  1.4   1.6  75.   75.   65.    0.5   0.15  0.2 
    48.092    1.7   1.6   1.5  75.   80.   65.    0.5   0.2   0.25
    48.120    1.6   1.5   1.6  75.   80.   65.    0.5   0.25  0.25
    48.194    1.7   1.6   1.5  80.   80.   55.    0.5   0.15  0.15
    48.372    1.7   1.5   1.6  80.   85.   65.    0.5   0.25  0.3 
    48.629    1.7   1.4   1.6  80.   80.   60.    0.5   0.2   0.35
    48.631    1.7   1.4   1.6  85.   85.   60.    0.5   0.25  0.35
    48.717    1.6   1.5   1.4  75.   80.   65.    0.5   0.25  0.2 
    48.736    1.7   1.6   1.6  80.   80.   65.    0.5   0.25  0.25
    48.740    1.7   1.4   1.5  75.   85.   65.    0.5   0.25  0.2 
    48.767    1.65  1.6   1.5  80.   85.   65.    0.5   0.25  0.2 
    48.933    1.65  1.6   1.5  75.   80.   65.    0.5   0.3   0.15
    48.958    1.7   1.5   1.4  80.   80.   60.    0.5   0.3   0.15
    48.994    1.7   1.5   1.5  85.   85.   60.    0.5   0.2   0.25
    49.083    1.7  1.5  1.5 85.  85.  60.   0.5  0.2  0.2
    49.100    1.7  1.5  1.6 75.  85.  65.   0.5  0.3  0.2
    49.130    1.7  1.6  1.4 80.  85.  65.   0.5  0.2  0.2
    49.158    1.7   1.5   1.6  75.   85.   65.    0.5   0.35  0.35
    49.199    1.6   1.6   1.6  75.   80.   65.    0.5   0.35  0.35
    49.271    1.7  1.5  1.5 80.  85.  65.   0.5  0.2  0.3
    49.394    1.7   1.4   1.4  80.   80.   60.    0.5   0.35  0.3 
