   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
    46.818    1.66  1.58  1.42 81.   80.   55.    0.5   0.3   0.15
    47.072    1.62  1.58  1.4  81.   80.   57.    0.5   0.3   0.1 
    47.152    1.66   1.565  1.42  81.    80.    56.     0.5    0.3    0.1  
    47.481    1.64  1.55  1.38 81.   80.   58.    0.5   0.3   0.1 
    47.651    1.62   1.55   1.4   81.    80.    57.     0.5    0.3    0.175
    48.651    1.64  1.55  1.4  81.   80.   55.    0.5   0.3   0.15
    48.816    1.66   1.565  1.42  81.    80.    55.     0.5    0.3    0.125
    49.130    1.66   1.58   1.38  81.    80.    57.     0.5    0.3    0.125
    49.387    1.66   1.58   1.4   81.    80.    58.     0.5    0.3    0.125
    49.827    1.64   1.55   1.42  81.    80.    58.     0.5    0.3    0.125
    50.095    1.62  1.58  1.4  81.   80.   56.    0.5   0.3   0.1 
    50.471    1.66   1.565  1.4   81.    80.    56.     0.5    0.3    0.1  
    50.806    1.64   1.58   1.4   81.    80.    57.     0.5    0.3    0.175
    50.817    1.64   1.565  1.42  81.    80.    56.     0.5    0.3    0.175
    51.104    1.64   1.565  1.38  81.    80.    57.     0.5    0.3    0.15 
    52.623    1.64  1.58  1.38 81.   80.   56.    0.5   0.3   0.15
    53.460    1.62   1.58   1.4   81.    80.    56.     0.5    0.3    0.175
    53.641    1.62  1.58  1.4  81.   80.   55.    0.5   0.3   0.1 
    54.564    1.66   1.565  1.38  81.    80.    56.     0.5    0.3    0.1  
    54.800    1.62   1.55   1.4   81.    80.    58.     0.5    0.3    0.175
    54.807    1.64   1.55   1.4   81.    80.    58.     0.5    0.3    0.125
    55.541    1.62   1.565  1.42  81.    80.    58.     0.5    0.3    0.2  
    56.063    1.66  1.58  1.42 81.   80.   56.    0.5   0.3   0.15
    56.815    1.64   1.58   1.4   81.    80.    58.     0.5    0.3    0.175
    57.822    1.62  1.58  1.42 81.   80.   58.    0.5   0.3   0.1 
    57.948    1.64   1.565  1.42  81.    80.    57.     0.5    0.3    0.175
    57.957    1.64  1.55  1.42 81.   80.   57.    0.5   0.3   0.15
    58.754    1.62  1.58  1.42 81.   80.   57.    0.5   0.3   0.1 
    59.022    1.62   1.565  1.38  81.    80.    58.     0.5    0.3    0.15 
    59.323    1.66   1.565  1.4   81.    80.    55.     0.5    0.3    0.125
    59.328    1.64  1.55  1.4  81.   80.   56.    0.5   0.3   0.15
    59.383    1.62   1.565  1.4   81.    80.    55.     0.5    0.3    0.2  
